Designator,Mid X,Mid Y,Rotation,Layer
C1,160.0,-82.2,90.0,top
C2,161.5,-79.0,0.0,top
C3,164.75,-78.0,270.0,top
D1,151.0975,-78.722,180.0,top
D2,151.0975,-76.29,180.0,top
J2,147.32,-91.44,0.0,top
J3,147.32,-76.2,0.0,top
J4,175.235,-78.765,90.0,top
J5,172.68,-78.79,90.0,top
J6,175.7,-89.63,0.0,top
J7,177.775,-78.765,90.0,top
J8,141.15,-83.92,270.0,top
R1,155.0,-78.0,0.0,top
R10,147.28,-84.64,90.0,top
R2,156.75,-75.75,0.0,top
R3,159.0,-88.8,0.0,top
R4,168.02,-84.17,90.0,top
R5,161.5,-77.0,0.0,top
R6,147.29,-88.01,270.0,top
R7,148.82,-86.0675,270.0,top
R8,151.47,-84.62,90.0,top
R9,151.48,-88.36,90.0,top
U1,156.05,-83.43,0.0,top
U2,167.73,-79.86,270.0,top
U3,164.64,-84.27,180.0,top
