Designator,Mid X,Mid Y,Rotation,Layer
C1,154.4625,-87.75,0.0,top
C2,162.575,-82.4625,270.0,top
C3,165.0,-82.5375,270.0,top
D1,152.25,-78.75,180.0,top
D2,152.25,-75.8,180.0,top
J1,139.75,-81.5,0.0,bottom
J2,146.75,-90.5,0.0,top
J3,147.0,-75.6,0.0,top
J4,179.4,-75.0,90.0,top
J5,175.6,-75.0,90.0,top
J6,181.6875,-88.1,90.0,top
J7,183.2,-75.0,90.0,top
J8,141.15,-83.0,270.0,top
J9,139.75,-84.75,0.0,bottom
R1,156.0,-77.5,0.0,top
R2,156.75,-75.75,0.0,top
R3,160.0,-89.0,0.0,top
R4,174.75,-82.75,180.0,top
R5,163.75,-78.0,270.0,top
R6,148.25,-84.75,0.0,top
R7,148.25,-81.75,0.0,top
U1,158.5,-82.3,90.0,top
U2,170.75,-79.25,90.0,top
U3,170.5,-86.0,90.0,top
